时间,阶段标签,预测表面位移_mm,直接预测_mm
2025-05-01 16:40:00,1,0.0,23.712185627921205
2025-05-01 16:50:00,1,0.5496335980684027,23.712185627921205
2025-05-01 17:00:00,1,0.07495073744463587,23.712185627921205
2025-05-01 17:10:00,1,0.8602790884762277,23.712185627921205
2025-05-01 17:20:00,1,0.508830391572674,23.712185627921205
2025-05-01 17:30:00,1,1.192212438841065,25.743213804207773
2025-05-01 17:40:00,1,0.7336248139390605,24.927544286503338
2025-05-01 17:50:00,1,1.5264487115436283,23.712185627921205
2025-05-01 18:00:00,1,0.9938574333273565,24.211185362503763
2025-05-01 18:10:00,1,1.4641468652515597,25.13007940604334
2025-05-01 18:20:00,1,1.429755641920145,26.106696769641456
2025-05-01 18:30:00,1,2.144761189270078,26.106696769641456
2025-05-01 18:40:00,1,1.993056603769166,26.106696769641456
2025-05-01 18:50:00,1,2.4950541351498954,25.29102725193702
2025-05-01 19:00:00,1,2.6537937891336747,26.181005457392068
2025-05-01 19:10:00,1,2.835586697424919,26.181005457392068
2025-05-01 19:20:00,1,2.997670705470438,26.181005457392068
2025-05-01 19:30:00,1,3.2733404713401,24.075668593354887
2025-05-01 19:40:00,1,3.367125913997211,25.29102725193702
2025-05-01 19:50:00,1,3.584749035452407,26.106696769641456
2025-05-01 20:00:00,1,3.7715424870739387,24.075668593354887
2025-05-01 20:10:00,1,3.9895612233583546,24.075668593354887
2025-05-01 20:20:00,1,4.1948857874142265,25.492008530726512
2025-05-01 20:30:00,1,4.339703811071866,25.492008530726512
2025-05-01 20:40:00,1,4.494521290860071,22.62279964019578
2025-05-01 20:50:00,1,4.606448858701398,22.62279964019578
2025-05-01 21:00:00,1,4.7096826506889595,22.62279964019578
2025-05-01 21:10:00,1,4.8331910127718976,21.26434442279185
2025-05-01 21:20:00,1,4.940761635058335,24.77346666157701
2025-05-01 21:30:00,1,4.980656230638454,21.26434442279185
2025-05-01 21:40:00,1,5.149243401700882,26.072177977907117
2025-05-01 21:50:00,1,5.219534099514333,26.072177977907117
2025-05-01 22:00:00,1,5.323334247290453,24.343576660505303
2025-05-01 22:10:00,1,5.483207987122518,24.417885348255915
2025-05-01 22:20:00,1,5.6314086175255715,26.072177977907117
2025-05-01 22:30:00,1,5.624431989295665,26.072177977907117
2025-05-01 22:40:00,1,5.8871076634083375,26.311231899572867
2025-05-01 22:50:00,1,5.804886589743427,23.921510956525886
2025-05-01 23:00:00,1,6.072205764534668,26.311231899572867
2025-05-01 23:10:00,1,6.12748801846196,26.275031863571815
2025-05-01 23:20:00,1,6.302751022626476,27.689606512932528
2025-05-01 23:30:00,1,6.3808417301676315,26.311231899572867
2025-05-01 23:40:00,1,6.47931020759373,25.650743819884823
2025-05-01 23:50:00,1,6.585723681629586,25.650743819884823
2025-05-02 00:00:00,1,6.665409171252354,23.70288150382933
2025-05-02 00:10:00,1,6.649363737951795,23.70288150382933
2025-05-02 00:20:00,1,6.960325738208806,26.514036604898607
2025-05-02 00:30:00,1,6.940204035085112,26.514036604898607
2025-05-02 00:40:00,1,7.217510230279531,27.96671990600888
2025-05-02 00:50:00,1,7.178830957458051,26.477836568897555
2025-05-02 01:00:00,1,7.544517549291859,26.477836568897555
2025-05-02 01:10:00,1,7.49069285067352,27.98076990600888
2025-05-02 01:20:00,1,7.886385350824062,26.477836568897555
2025-05-02 01:30:00,1,7.965023849055339,25.262477910315422
2025-05-02 01:40:00,1,8.095947373027352,25.262477910315422
2025-05-02 01:50:00,1,8.240819967877265,25.262477910315422
2025-05-02 02:00:00,1,8.38030685850678,25.262477910315422
2025-05-02 02:10:00,1,8.395793482518895,25.262477910315422
2025-05-02 02:20:00,1,8.781913116281876,25.262477910315422
2025-05-02 02:30:00,1,9.284964822886828,24.982052361504163
2025-05-02 02:40:00,1,9.07678736623082,24.645908386168195
